[DEBUG] [2022-03-07 22:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4108d373d1a8497abb474d629c5c41a1, msgType : 19
[DEBUG] [2022-03-07 22:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 14259d86e8a748d98b6da46d0373a983, msgType : 18
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:10] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:10] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@59fc684e 
[INFO] [2022-03-07 22:01:10] ABIObjectFactory.createObject(32) |  name: get
[DEBUG] [2022-03-07 22:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 42d14fda0a1a4d72b78c8e7496e32683, msgType : 19
[DEBUG] [2022-03-07 22:01:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fe2a7d2e18254096b67979e4688921a2, msgType : 19
[DEBUG] [2022-03-07 22:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7271ad97bf80456686b18940633f06fb, msgType : 19
[DEBUG] [2022-03-07 22:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bb3b568038764543b650b7b23163eb4c, msgType : 19
[DEBUG] [2022-03-07 22:01:12] ConsoleContractImpl.callContract(441) | sendCall request, params: [abc, def], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:constr, paramSize: 2
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@5ae81e1 
[INFO] [2022-03-07 22:01:12] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:01:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 318fec04ec3d4940877dc0251aa2bc24, msgType : 18
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:12] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:12] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@2fd1731c 
[INFO] [2022-03-07 22:01:12] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dfc00b000bf742879926c2c0a9eed956, msgType : 19
[DEBUG] [2022-03-07 22:01:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ca0c56d0a03b4a1b974a7e5d4908645e, msgType : 19
[DEBUG] [2022-03-07 22:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : af65aa2f66664949813c670d885e01f7, msgType : 19
[DEBUG] [2022-03-07 22:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 6b4e2a3454664c1895ab2a70485176d6, msgType : 19
[DEBUG] [2022-03-07 22:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 70d930078d81418980d9d50bf2de1079, msgType : 18
[DEBUG] [2022-03-07 22:01:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 720d1dd8f42e459a8f76d219af163709, msgType : 18
[DEBUG] [2022-03-07 22:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : da5b323f668c4581a1b86a8fc0b7732e, msgType : 19
[DEBUG] [2022-03-07 22:01:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 209a61a4d1cf441cbd6eecbe2a832f25, msgType : 19
[DEBUG] [2022-03-07 22:01:19] ConsoleContractImpl.callContract(441) | sendCall request, params: [abc, def], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:constr, paramSize: 2
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@5ae76500 
[INFO] [2022-03-07 22:01:19] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:01:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2e02582510374b858eb5c4192341af27, msgType : 18
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:19] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:19] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@6063d80a 
[INFO] [2022-03-07 22:01:19] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ebc8d435ff30409bb995ed2f864fe0e3, msgType : 19
[DEBUG] [2022-03-07 22:01:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : be4ad4b5199a4624a51888dec08db88e, msgType : 19
[DEBUG] [2022-03-07 22:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3f178496f06f49b1a8e3b421fc4065bb, msgType : 19
[DEBUG] [2022-03-07 22:01:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4bd56d79299744a48117bcce19c2e3d1, msgType : 19
[DEBUG] [2022-03-07 22:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e2b695ba44a94605ae29a6175eadbb0e, msgType : 19
[DEBUG] [2022-03-07 22:01:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 09b0afad72754b69915c522082d0d18c, msgType : 19
[DEBUG] [2022-03-07 22:01:25] ConsoleContractImpl.callContract(441) | sendCall request, params: [100, 200], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:addint, paramSize: 2
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@1133ec6e 
[INFO] [2022-03-07 22:01:25] ABIObjectFactory.createObject(32) |  name: addint
[DEBUG] [2022-03-07 22:01:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8e7a922978e44ccc82da952c9b227255, msgType : 18
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:25] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:25] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@1b11ef33 
[INFO] [2022-03-07 22:01:25] ABIObjectFactory.createObject(32) |  name: addint
[DEBUG] [2022-03-07 22:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7559735fa961402d9010475425a78cf9, msgType : 19
[DEBUG] [2022-03-07 22:01:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5980d400e8af4b1d8b16e3bd9f3265ca, msgType : 19
[DEBUG] [2022-03-07 22:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f1c699ef901d4e7a8cee9a8582354260, msgType : 19
[DEBUG] [2022-03-07 22:01:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e0289b3f0e604a0e9a9675cb8cefc454, msgType : 19
[DEBUG] [2022-03-07 22:01:29] ConsoleContractImpl.callContract(441) | sendCall request, params: [abc, def], contractAddress: 0x8c36d539c02d836cce5e651c45f1074701269f3a, contractName: BallChainAPI, functionName:constr, paramSize: 2
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@3bd7f8dc 
[INFO] [2022-03-07 22:01:29] ABIObjectFactory.createObject(32) |  name: constr
[DEBUG] [2022-03-07 22:01:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 902560936c554a17b65538b263578ad7, msgType : 18
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: constr, methodId: 0x44613abf, methodSignature: constr(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@8f5bbb51
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: set, methodId: 0x4ed3885e, methodSignature: set(string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b09f9fdf
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: get, methodId: 0x6d4ce63c, methodSignature: get(), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@7b01f9f7
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: addint, methodId: 0x9bbd14fb, methodSignature: addint(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@1ded1e10
[INFO] [2022-03-07 22:01:29] ContractABIDefinition.addFunction(84) |  name: adddb, methodId: 0xb93bdd5c, methodSignature: adddb(string,string), abi: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@b6beaec1
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(42) |  abiDefinition: org.fisco.bcos.sdk.abi.wrapper.ABIDefinition@4ec450ae
[INFO] [2022-03-07 22:01:29] ABIDefinitionFactory.loadABI(49) |  contractABIDefinition org.fisco.bcos.sdk.abi.wrapper.ContractABIDefinition@2f2bf0e2 
[INFO] [2022-03-07 22:01:29] ABIObjectFactory.createObject(32) |  name: constr
